host_id,host_since,host_location,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified
35624832,2015-06-12,"Paris, Ile-de-France, France",0,1,1,0
38057974,2015-07-10,"Paris, Ile-de-France, France",0,1,1,0
53661255,2016-01-07,"Paris, Ile-de-France, France",0,1,1,0
74838902,2016-05-30,"Paris, Ile-de-France, France",0,1,1,0
16391271,2014-06-04,"Paris, Ile-de-France, France",0,1,1,0
33217012,2015-05-12,"Paris, Ile-de-France, France",0,1,1,0
48856422,2015-11-12,"Paris, Ile-de-France, France",0,1,1,0
9704186,2013-10-29,"Paris, Ile-de-France, France",0,1,1,0
80778477,2016-06-29,"Paris, Ile-de-France, France",0,1,1,0
21157896,2014-09-10,"Paris, Ile-de-France, France",0,1,1,0
36557945,2015-06-23,"Paris, Ile-de-France, France",0,1,1,0
95310154,2016-09-15,"Paris, Ile-de-France, France",0,1,1,0
185305612,2018-04-20,"Paris, Ile-de-France, France",0,1,1,0
16274439,2014-06-02,"Paris, Ile-de-France, France",0,1,1,0
198418962,2018-06-27,"Paris, Ile-de-France, France",0,1,1,0
13117293,2014-03-14,"Paris, Ile-de-France, France",0,1,1,0
27032739,2015-02-01,"Paris, Ile-de-France, France",0,1,1,0
94631514,2016-09-11,"Paris, Ile-de-France, France",0,1,1,0
16620753,2014-06-10,"Paris, Ile-de-France, France",0,1,1,0
30202241,2015-03-29,"Paris, Ile-de-France, France",0,1,1,0
40221653,2015-08-01,"Paris, Ile-de-France, France",0,1,1,0
202027203,2018-07-13,"Paris, Ile-de-France, France",0,1,1,0
9917281,2013-11-10,"Paris, Ile-de-France, France",0,1,1,0
14762464,2014-04-26,"Paris, Ile-de-France, France",0,1,1,1
39815922,2015-07-28,"Paris, Ile-de-France, France",0,1,1,1
15215553,2014-05-07,"Paris, Ile-de-France, France",0,1,1,1
114218911,2017-01-31,"Paris, Ile-de-France, France",0,1,1,1
93419704,2016-09-04,"Paris, Ile-de-France, France",0,1,1,1
17286714,2014-06-26,"Paris, Ile-de-France, France",0,1,1,1
83263275,2016-07-12,"Paris, Ile-de-France, France",0,1,1,1
26722322,2015-01-26,"Paris, Ile-de-France, France",0,1,1,1
