neighbourhood,city,latitude,longitude,location_id
Elysee,Paris,48.87453,2.31608,426
Temple,Paris,48.86271,2.36437,427
Enclos-St-Laurent,Paris,48.87143,2.36053,428
Elysee,Paris,48.87333,2.31441,429
Buttes-Montmartre,Paris,48.88803,2.34682,430
Vaugirard,Paris,48.84291,2.30221,431
Buttes-Montmartre,Paris,48.88299,2.3384,432
Popincourt,Paris,48.85362,2.37606,433
Pantheon,Paris,48.84147,2.33862,434
Bourse,Paris,48.86679,2.34459,435
Temple,Paris,48.86677,2.35934,436
Popincourt,Paris,48.85652,2.37268,437
Opera,Paris,48.88322,2.33367,438
Vaugirard,Paris,48.84085,2.28595,439
Enclos-St-Laurent,Paris,48.87334,2.35459,440
Popincourt,Paris,48.85029,2.391,441
Popincourt,Paris,48.86484,2.36709,442
Buttes-Montmartre,Paris,48.89023,2.3402,443
Popincourt,Paris,48.85076,2.39154,444
Observatoire,Paris,48.83171,2.33472,445
Louvre,Paris,48.86421,2.34045,446
Buttes-Chaumont,Paris,48.88846,2.37461,447
Batignolles-Monceau,Paris,48.88264,2.29329,448
Menilmontant,Paris,48.85146,2.39956,449
Elysee,Paris,48.87968,2.32272,450
Opera,Paris,48.88226,2.34834,451
Luxembourg,Paris,48.85509,2.33723,452
Passy,Paris,48.86908,2.27644,453
Passy,Paris,48.84115,2.25813,454
Menilmontant,Paris,48.87321,2.38644,455
Reuilly,Paris,48.84072,2.39094,456
Buttes-Montmartre,Paris,48.89444,2.36324,457
Elysee,Paris,48.87374,2.32172,458
Menilmontant,Paris,48.86327,2.40203,459
Buttes-Montmartre,Paris,48.89419,2.34469,460
Opera,Paris,48.87671,2.34387,461
Popincourt,Paris,48.86933,2.37269,462
Popincourt,Paris,48.8594,2.37631,463
Opera,Paris,48.87246,2.3425,464
Popincourt,Paris,48.86878,2.37125,465
Popincourt,Paris,48.86585,2.37046,466
Palais-Bourbon,Paris,48.86109,2.30964,467
Buttes-Montmartre,Paris,48.8913,2.32834,468
Observatoire,Paris,48.82426,2.3307,469
Popincourt,Paris,48.85489,2.39027,470
Popincourt,Paris,48.85873,2.37862,471
Temple,Paris,48.86198,2.35113,472
Buttes-Montmartre,Paris,48.88425,2.3389,473
Vaugirard,Paris,48.83879,2.28589,474
Batignolles-Monceau,Paris,48.88944,2.32421,475
Buttes-Montmartre,Paris,48.88303,2.3399,476
Popincourt,Paris,48.85671,2.37665,477
Popincourt,Paris,48.86133,2.38034,478
Popincourt,Paris,48.85617,2.37635,479
Popincourt,Paris,48.85959,2.37762,480
Gobelins,Paris,48.8307,2.3449,481
Menilmontant,Paris,48.85059,2.40211,482
Gobelins,Paris,48.83237,2.35547,483
Buttes-Chaumont,Paris,48.88789,2.38678,484
Buttes-Chaumont,Paris,48.87624,2.40282,485
Buttes-Chaumont,Paris,48.88847,2.39146,486
Palais-Bourbon,Paris,48.85518,2.30509,487
Hotel-de-Ville,Paris,48.85207,2.35813,488
Vaugirard,Paris,48.83715,2.29511,489
Menilmontant,Paris,48.87256,2.39432,490
Passy,Paris,48.87016,2.288,491
Elysee,Paris,48.86706,2.30799,492
Enclos-St-Laurent,Paris,48.87518,2.35468,493
Passy,Paris,48.85635,2.28455,494
Gobelins,Paris,48.82789,2.36675,495
Buttes-Montmartre,Paris,48.88918,2.34596,496
Enclos-St-Laurent,Paris,48.87491,2.36965,497
Menilmontant,Paris,48.86722,2.39459,498
Buttes-Chaumont,Paris,48.88175,2.38741,499
Buttes-Montmartre,Paris,48.88841,2.32596,500
